nameLower,Month,County.Code,City.Name,PM,CN,meanAllTime,lr_op,TAVG,AWND,PRCP,T
charlotte,1,119,Charlotte,13.414285714285715,Charlotte,11.92283474776049,0,4.31,2.6,103.4,0
charlotte,2,119,Charlotte,17.525,Charlotte,11.92283474776049,0,8.07,2.4,65.8,0
charlotte,3,119,Charlotte,13.299999999999999,Charlotte,11.92283474776049,0,12.81,3,91.2,0
charlotte,4,119,Charlotte,12.333333333333334,Charlotte,11.92283474776049,0,13.92,3.2,139.2,0
charlotte,5,119,Charlotte,16.560000000000002,Charlotte,11.92283474776049,0,20.75,2.5,29.7,0
charlotte,6,119,Charlotte,20.083333333333332,Charlotte,11.92283474776049,0,24.36,2.4,88.3,0
charlotte,7,119,Charlotte,20.424999999999997,Charlotte,11.92283474776049,0,24.98,2.5,37.4,0
charlotte,8,119,Charlotte,18.116666666666667,Charlotte,11.92283474776049,0,24.73,2.3,82.7,0
charlotte,9,119,Charlotte,11.98,Charlotte,11.92283474776049,0,20.59,2.6,147.6,0
charlotte,10,119,Charlotte,22.92,Charlotte,11.92283474776049,0,15.88,2,0,0
charlotte,11,119,Charlotte,15.02,Charlotte,11.92283474776049,0,9.3,2.1,69.9,0
charlotte,12,119,Charlotte,14.58,Charlotte,11.92283474776049,0,1.79,2.6,27.2,0
charlotte,13,119,Charlotte,15.32,Charlotte,11.92283474776049,0,4.83,2.4,47.5,0
charlotte,14,119,Charlotte,13.049999999999999,Charlotte,11.92283474776049,0,8.76,2.7,55.7,0
charlotte,15,119,Charlotte,10.66,Charlotte,11.92283474776049,0,9.26,3.3,144.3,0
charlotte,16,119,Charlotte,14.316666666666666,Charlotte,11.92283474776049,0,16.24,2.7,30,0
charlotte,17,119,Charlotte,14.466666666666667,Charlotte,11.92283474776049,0,20.08,2.3,67.3,0
charlotte,18,119,Charlotte,14.414285714285715,Charlotte,11.92283474776049,0,24.22,2.3,48.4,0
charlotte,19,119,Charlotte,18.325,Charlotte,11.92283474776049,0,24.63,2.5,57.1,0
charlotte,20,119,Charlotte,18.94,Charlotte,11.92283474776049,0,26.45,2.2,16.5,0
charlotte,21,119,Charlotte,12.5,Charlotte,11.92283474776049,0,20.56,2.4,109.5,0
charlotte,22,119,Charlotte,9.3,Charlotte,11.92283474776049,0,14.47,2.3,19.8,0
charlotte,23,119,Charlotte,17.7,Charlotte,11.92283474776049,0,13.54,2.4,21.2,0
charlotte,24,119,Charlotte,11.5,Charlotte,11.92283474776049,0,9.03,2.3,49.9,0
charlotte,25,119,Charlotte,12.28,Charlotte,11.92283474776049,0,6.18,2.4,119.2,0
charlotte,26,119,Charlotte,14.719999999999999,Charlotte,11.92283474776049,0,6.79,2.8,38.9,0
charlotte,27,119,Charlotte,12.3,Charlotte,11.92283474776049,0,10.94,2.9,113.6,0
charlotte,28,119,Charlotte,11.22,Charlotte,11.92283474776049,0,17.94,2.9,11.1,0
charlotte,29,119,Charlotte,9.84,Charlotte,11.92283474776049,0,18.8,2.8,106.1,0
charlotte,30,119,Charlotte,14.516666666666667,Charlotte,11.92283474776049,0,24.57,2.4,31.4,0
charlotte,31,119,Charlotte,21.919999999999998,Charlotte,11.92283474776049,0,26.99,2.2,30.4,0
charlotte,32,119,Charlotte,18.583333333333332,Charlotte,11.92283474776049,0,25.56,2.5,109.7,0
charlotte,33,119,Charlotte,18.575,Charlotte,11.92283474776049,0,22.93,2.6,90,0
charlotte,34,119,Charlotte,13.666666666666666,Charlotte,11.92283474776049,0,16.51,2,138.1,0
charlotte,35,119,Charlotte,9.15,Charlotte,11.92283474776049,0,9.12,2.1,111.4,0
charlotte,36,119,Charlotte,13.25,Charlotte,11.92283474776049,0,4.95,2.4,126,0
charlotte,37,119,Charlotte,12.959999999999999,Charlotte,11.92283474776049,0,2.94,2.9,49.9,0
charlotte,38,119,Charlotte,13,Charlotte,11.92283474776049,0,5.88,2.9,91.8,0
charlotte,39,119,Charlotte,12.25,Charlotte,11.92283474776049,0,12.28,3,179.3,0
charlotte,40,119,Charlotte,10.325,Charlotte,11.92283474776049,0,14.77,3,209.5,0
charlotte,41,119,Charlotte,8.92,Charlotte,11.92283474776049,0,19.11,2.6,271.8,0
charlotte,42,119,Charlotte,14.528571428571428,Charlotte,11.92283474776049,0,22.65,2.4,128.6,0
charlotte,43,119,Charlotte,10.74,Charlotte,11.92283474776049,0,24.75,2.1,210.7,0
charlotte,44,119,Charlotte,17.88,Charlotte,11.92283474776049,0,25.35,1.7,263,0
charlotte,45,119,Charlotte,11.766666666666666,Charlotte,11.92283474776049,0,21,2.6,68.3,0
charlotte,46,119,Charlotte,15.68,Charlotte,11.92283474776049,0,15.66,2.3,36.4,0
charlotte,47,119,Charlotte,13.2,Charlotte,11.92283474776049,0,13.14,2.5,21.4,0
charlotte,48,119,Charlotte,9.52,Charlotte,11.92283474776049,0,4.71,2.4,60.9,0
charlotte,49,119,Charlotte,11.82,Charlotte,11.92283474776049,0,4.27,2.8,23.3,0
charlotte,50,119,Charlotte,16.28,Charlotte,11.92283474776049,0,4.44,2.9,90.3,0
charlotte,51,119,Charlotte,10.9,Charlotte,11.92283474776049,0,12.09,3,41,0
charlotte,52,119,Charlotte,12.120000000000001,Charlotte,11.92283474776049,0,15.28,2.9,34.4,0
charlotte,53,119,Charlotte,12.68,Charlotte,11.92283474776049,0,22.3,2.3,70.6,0
charlotte,54,119,Charlotte,16.94,Charlotte,11.92283474776049,0,23.91,2.1,208.4,0
charlotte,55,119,Charlotte,19.783333333333335,Charlotte,11.92283474776049,0,25.51,1.8,173.8,0
charlotte,56,119,Charlotte,14.383333333333333,Charlotte,11.92283474776049,0,23.69,2.3,138.1,0
charlotte,57,119,Charlotte,13.5,Charlotte,11.92283474776049,0,21.72,3.4,174.6,0
charlotte,58,119,Charlotte,14,Charlotte,11.92283474776049,0,17.26,2,19.3,0
charlotte,59,119,Charlotte,10.540000000000001,Charlotte,11.92283474776049,0,11.74,2.1,79.3,0
charlotte,60,119,Charlotte,12.74,Charlotte,11.92283474776049,0,5.53,2.5,69.8,0
charlotte,61,119,Charlotte,15.55,Charlotte,11.92283474776049,0,6.74,3,42.2,0
charlotte,62,119,Charlotte,13.22,Charlotte,11.92283474776049,0,7.39,2.6,75,0
charlotte,63,119,Charlotte,14.96,Charlotte,11.92283474776049,0,9.43,3,134,0
charlotte,64,119,Charlotte,12.28,Charlotte,11.92283474776049,0,14.74,3.1,76.3,0
charlotte,65,119,Charlotte,13.08,Charlotte,11.92283474776049,0,18.19,2.5,61.6,0
charlotte,66,119,Charlotte,12.18,Charlotte,11.92283474776049,0,23.63,2.2,208.9,0
charlotte,67,119,Charlotte,14.379999999999999,Charlotte,11.92283474776049,0,26.4,2,77.4,0
charlotte,68,119,Charlotte,22.84,Charlotte,11.92283474776049,0,26.37,2,50,0
charlotte,69,119,Charlotte,15.88,Charlotte,11.92283474776049,0,23.83,2.9,9.2,0
charlotte,70,119,Charlotte,13.100000000000001,Charlotte,11.92283474776049,0,16.63,2.3,118.4,0
charlotte,71,119,Charlotte,15.325000000000001,Charlotte,11.92283474776049,0,10.97,2.5,77.8,0
charlotte,72,119,Charlotte,10.757142857142856,Charlotte,11.92283474776049,0,4.5,2.2,133.6,0
charlotte,73,119,Charlotte,8.825,Charlotte,11.92283474776049,0,8.33,2.9,82.2,0
charlotte,74,119,Charlotte,11.433333333333334,Charlotte,11.92283474776049,0,6.41,2.6,30,0
charlotte,75,119,Charlotte,16.9,Charlotte,11.92283474776049,0,10.94,3.1,33.5,0
charlotte,76,119,Charlotte,14.55,Charlotte,11.92283474776049,0,17.27,2.7,60.1,0
charlotte,77,119,Charlotte,11.733333333333333,Charlotte,11.92283474776049,0,18.77,2.3,31.7,0
charlotte,78,119,Charlotte,19.825,Charlotte,11.92283474776049,0,23.64,2.3,188,0
charlotte,79,119,Charlotte,18.066666666666666,Charlotte,11.92283474776049,0,25.68,2,92.7,0
charlotte,80,119,Charlotte,19,Charlotte,11.92283474776049,0,26,1.9,183.2,0
charlotte,81,119,Charlotte,12.166666666666666,Charlotte,11.92283474776049,0,21.02,2.2,111.3,0
charlotte,82,119,Charlotte,9.65,Charlotte,11.92283474776049,0,14.33,2.4,96.6,0
charlotte,83,119,Charlotte,15.566666666666666,Charlotte,11.92283474776049,0,10.92,2.9,160.2,0
charlotte,84,119,Charlotte,12.850000000000001,Charlotte,11.92283474776049,0,8.54,2.2,60.3,0
charlotte,85,119,Charlotte,9.4,Charlotte,11.92283474776049,0,6.69,2.6,85.9,0
charlotte,86,119,Charlotte,6.7,Charlotte,11.92283474776049,0,5.02,2.7,70.4,0
charlotte,87,119,Charlotte,15.333333333333332,Charlotte,11.92283474776049,0,13.75,3,111.7,0
charlotte,88,119,Charlotte,12.075000000000001,Charlotte,11.92283474776049,0,14.74,2.9,104.7,0
charlotte,89,119,Charlotte,16.225,Charlotte,11.92283474776049,0,19.78,2.8,15.3,0
charlotte,90,119,Charlotte,17.53333333333333,Charlotte,11.92283474776049,0,24.41,2.5,65.2,0
charlotte,91,119,Charlotte,15.3,Charlotte,11.92283474776049,0,24.85,2.2,51.8,0
charlotte,92,119,Charlotte,27.575,Charlotte,11.92283474776049,0,28.73,2.2,10.5,0
charlotte,93,119,Charlotte,14.125,Charlotte,11.92283474776049,0,23.86,2.5,27.2,0
charlotte,94,119,Charlotte,10.1,Charlotte,11.92283474776049,0,18.94,2.4,64.6,0
charlotte,95,119,Charlotte,12.533333333333333,Charlotte,11.92283474776049,0,10.01,2.6,11.9,0
charlotte,96,119,Charlotte,12.225,Charlotte,11.92283474776049,1,9.32,2.7,107.6,1
charlotte,97,119,Charlotte,10.75,Charlotte,11.92283474776049,1,4.74,2.8,46.9,1
charlotte,98,119,Charlotte,10.15,Charlotte,11.92283474776049,1,8.18,3.1,70.1,1
charlotte,99,119,Charlotte,8.525,Charlotte,11.92283474776049,1,11.26,3.8,117.9,1
charlotte,100,119,Charlotte,8.633333333333333,Charlotte,11.92283474776049,1,14.79,3.3,94,1
charlotte,101,119,Charlotte,12.9,Charlotte,11.92283474776049,1,19.52,3.8,55.6,1
charlotte,102,119,Charlotte,14.2,Charlotte,11.92283474776049,1,26.12,3,68.4,1
charlotte,103,119,Charlotte,18.46,Charlotte,11.92283474776049,1,25.84,2.7,90.7,1
charlotte,104,119,Charlotte,18.35,Charlotte,11.92283474776049,1,25.3,2.8,238.5,1
charlotte,105,119,Charlotte,14.5,Charlotte,11.92283474776049,1,21.95,3.2,101.3,1
charlotte,106,119,Charlotte,5.033333333333333,Charlotte,11.92283474776049,1,14.59,2.7,37.9,1
charlotte,107,119,Charlotte,10.766666666666666,Charlotte,11.92283474776049,1,8.1,2.9,69.8,1
charlotte,108,119,Charlotte,10.88,Charlotte,11.92283474776049,1,8.26,3,82.3,1
charlotte,109,119,Charlotte,11.175,Charlotte,11.92283474776049,1,4.41,3.1,64,1
charlotte,110,119,Charlotte,10.925,Charlotte,11.92283474776049,1,6.94,3.7,56.1,1
charlotte,111,119,Charlotte,7.4,Charlotte,11.92283474776049,1,10.38,3.5,137.3,1
charlotte,112,119,Charlotte,4.8,Charlotte,11.92283474776049,1,15.56,3.6,58.4,1
charlotte,113,119,Charlotte,6.82,Charlotte,11.92283474776049,1,20.59,3.5,185,1
charlotte,114,119,Charlotte,14.9,Charlotte,11.92283474776049,1,24.88,2.1,120.3,1
charlotte,115,119,Charlotte,12.866666666666667,Charlotte,11.92283474776049,1,24.99,2.6,119.3,1
charlotte,116,119,Charlotte,10.133333333333333,Charlotte,11.92283474776049,1,25.79,2.1,42.1,1
charlotte,117,119,Charlotte,9.8,Charlotte,11.92283474776049,1,22.02,2.5,42.6,1
charlotte,118,119,Charlotte,8.033333333333333,Charlotte,11.92283474776049,1,15.11,2.4,91.1,1
charlotte,119,119,Charlotte,7.266666666666667,Charlotte,11.92283474776049,1,11.72,2.8,129,1
charlotte,120,119,Charlotte,13.666666666666666,Charlotte,11.92283474776049,1,4.4,2.4,178.1,1
charlotte,121,119,Charlotte,10,Charlotte,11.92283474776049,1,3.08,2.8,124.1,1
charlotte,122,119,Charlotte,12.333333333333334,Charlotte,11.92283474776049,1,3.53,2.7,96.3,1
charlotte,123,119,Charlotte,6.775,Charlotte,11.92283474776049,1,10.49,3,111.1,1
charlotte,124,119,Charlotte,9.4,Charlotte,11.92283474776049,1,17.03,2.8,36.7,1
charlotte,125,119,Charlotte,11.266666666666667,Charlotte,11.92283474776049,1,21.92,2.8,85.6,1
charlotte,126,119,Charlotte,14.399999999999999,Charlotte,11.92283474776049,1,26.8,2.2,73.5,1
charlotte,127,119,Charlotte,12.8,Charlotte,11.92283474776049,1,27.78,2.4,63,1
charlotte,128,119,Charlotte,16.866666666666667,Charlotte,11.92283474776049,1,27.15,2.2,120.7,1
charlotte,129,119,Charlotte,10.55,Charlotte,11.92283474776049,1,24.09,2.4,106.1,1
charlotte,130,119,Charlotte,12.733333333333334,Charlotte,11.92283474776049,1,16.49,2.4,28.7,1
charlotte,131,119,Charlotte,11.2,Charlotte,11.92283474776049,1,10.51,2.4,35.1,1
charlotte,132,119,Charlotte,16.12,Charlotte,11.92283474776049,1,1.54,2.4,44.4,1
charlotte,133,119,Charlotte,14,Charlotte,11.92283474776049,1,2.97,2.2,35,1
charlotte,134,119,Charlotte,7.966666666666667,Charlotte,11.92283474776049,1,8.89,3.2,87.5,1
charlotte,135,119,Charlotte,8.925,Charlotte,11.92283474776049,1,11.38,3.3,114.7,1
charlotte,136,119,Charlotte,8.566666666666666,Charlotte,11.92283474776049,1,17.37,4,84.3,1
